"Car Body","Welding Spot","Date","current_mean","current_std","current_min","current_max","current_median","current_range","current_non_zero_count","current_non_zero_ratio","current_peak_position","current_peak_value","current_first_non_zero","current_last_non_zero","current_area","voltage_mean","voltage_std","voltage_min","voltage_max","voltage_median","voltage_range","voltage_non_zero_count","voltage_non_zero_ratio","voltage_peak_position","voltage_peak_value","voltage_first_non_zero","voltage_last_non_zero","voltage_area","force_mean","force_std","force_min","force_max","force_median","force_range","force_non_zero_count","force_non_zero_ratio","force_peak_position","force_peak_value","force_first_non_zero","force_last_non_zero","force_area","Fault"
"0","9","2023-06-13","0.3064456782233591","0.3100438089372303","0.0","0.6753474996005752","0.14299408851254192","0.6753474996005752","504","0.504","500","0.6753474996005752","0","509","306.431139159611","0.2128091349062313","0.21621971203826937","0.0","0.5381125226860254","0.0083182093163944","0.5381125226860254","500","0.5","130","0.5381125226860254","0","509","212.7986993345431","0.14040201005025219","0.14232131670255707","0.0","0.3266331658291457","0.0","0.3266331658291457","494","0.494","507","0.3266331658291457","0","509","140.2788944723627","1"
"0","10","2023-06-13","0.5005714171592907","0.3289709933007044","0.0","0.889998402300687","0.7014698833679501","0.889998402300687","705","0.705","16","0.889998402300687","0","719","500.52955743728967","0.3095710828796131","0.20682560894697966","0.0","0.5471869328493648","0.4228675136116152","0.5471869328493648","700","0.7","49","0.5471869328493648","0","719","309.55399274047096","0.1966130653266352","0.13106276414469792","0.0","0.3165829145728643","0.2864321608040201","0.3165829145728643","694","0.694","717","0.3165829145728643","0","719","196.48994974874532","1"
"0","93","2023-06-13","0.3196259785908266","0.3248136252083091","0.0","0.7144911327688129","0.1512621824572615","0.7144911327688129","504","0.504","359","0.7144911327688129","0","509","319.6119987218392","0.1953956442831221","0.20179678805452025","0.0","0.4939503932244404","0.0096793708408953","0.4939503932244404","500","0.5","170","0.4939503932244404","0","509","195.3859649122807","0.14550251256281524","0.14805294024204807","0.0","0.3266331658291457","0.0","0.3266331658291457","494","0.494","364","0.3266331658291457","0","509","145.37939698492576","1"
"1","1","2023-06-14","0.4700586355647842","0.3092997120478306","0.0","0.7107365393832881","0.6688768173829686","0.7107365393832881","704","0.704","692","0.7107365393832881","0","709","470.0307956542598","0.32081730187537755","0.21319195917236744","0.0","0.4969751966122202","0.455837870538415","0.4969751966122202","700","0.7","43","0.4969751966122202","0","709","320.80081669691464","0.19846733668341757","0.13218239071273835","0.0","0.3165829145728643","0.2864321608040201","0.3165829145728643","694","0.694","707","0.3165829145728643","0","709","198.34422110552785","1"
"1","10","2023-06-14","0.5034930500079877","0.33105636121612486","0.0","0.8876018533312031","0.7066624061351654","0.8876018533312031","705","0.705","37","0.8876018533312031","0","719","503.4530276401984","0.3036427707199042","0.20299066745745825","0.0","0.5774349667271628","0.4098608590441621","0.5774349667271628","700","0.7","37","0.5774349667271628","0","719","303.62477313974654","0.1997286432160802","0.1333225098929305","0.0","0.3165829145728643","0.2864321608040201","0.3165829145728643","694","0.694","717","0.3165829145728643","0","719","199.60552763819052","1"
"1","66","2023-06-14","0.3640892315066303","0.3020366996359849","0.0","0.6516216648026841","0.482984502316664","0.6516216648026841","603","0.603","353","0.6516216648026841","0","609","364.07648985460935","0.26664882032667836","0.22401403503601766","0.0","0.5653357531760436","0.3923169993950393","0.5653357531760436","600","0.6","133","0.5653357531760436","0","609","266.64337568058073","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0","0.0","-1","-1","0.0","1"
"1","84","2023-06-14","0.42011567343026024","0.3379581135430744","0.0","0.8937529956862118","0.6694360121425148","0.8937529956862118","615","0.615","45","0.8937529956862118","0","629","420.0753714650899","0.2854428312159689","0.2326954166588716","0.0","0.6957047791893527","0.4419237749546279","0.6957047791893527","610","0.61","45","0.6957047791893527","0","629","285.42513611615124","0.17233165829145833","0.13982059339891945","0.0","0.3165829145728643","0.271356783919598","0.3165829145728643","604","0.604","627","0.3165829145728643","0","629","172.20854271356885","1"
"2","84","2023-06-14","0.4180071896469078","0.33634388007742155","0.0","0.8915961016136763","0.6678383128295254","0.8915961016136763","615","0.615","43","0.8915961016136763","0","629","417.96700750918666","0.2865163339382939","0.23348448479845715","0.0","0.6833030852994555","0.4422262552934059","0.6833030852994555","610","0.61","40","0.6833030852994555","0","629","286.4989413188138","0.17262311557789023","0.14007127298673225","0.0","0.3165829145728643","0.271356783919598","0.3165829145728643","604","0.604","627","0.3165829145728643","0","629","172.50000000000045","1"
"2","130","2023-06-14","0.2930438568461415","0.29673652091360075","0.0","0.6290142195238856","0.13496564946477072","0.6290142195238856","504","0.504","295","0.6290142195238856","0","509","293.0289982425305","0.21723351482153633","0.22154677901217415","0.0","0.5444646098003629","0.0084694494857834","0.5444646098003629","500","0.5","128","0.5444646098003629","0","509","217.22186932849354","0.1396984924623128","0.14154593471753124","0.0","0.3165829145728643","0.0","0.3165829145728643","494","0.494","507","0.3165829145728643","0","509","139.57537688442335","1"
"3","84","2023-06-21","0.4175864355328317","0.3359875988855791","0.0","0.8935133407892635","0.6656814187569899","0.8935133407892635","615","0.615","49","0.8935133407892635","0","629","417.5479309793894","0.28694252873563103","0.233866111272403","0.0","0.6957047791893527","0.4473684210526316","0.6957047791893527","610","0.61","43","0.6957047791893527","0","629","286.9248336358129","0.17254271356783987","0.13999580668089653","0.0","0.3165829145728643","0.271356783919598","0.3165829145728643","604","0.604","627","0.3165829145728643","0","629","172.41959798995032","1"
